course_difficulty,course_type,age_group,past_course_history,weekly_login_frequency,avg_time_per_session_minutes,device_used,course_length_hours,has_certification,completion
medium,combined,36-45,1,1,16.812905212913492,mobile,8,N,Y
medium,video,36-45,16,0,23.504227734772215,mobile,20,N,N
medium,coding,18-25,13,5,33.26401328259826,desktop,1,N,Y
hard,video,18-25,9,5,22.460160175339045,mobile,8,N,N
medium,coding,26-35,9,6,26.659602716386818,mobile,30,N,Y
easy,reading,18-25,18,7,35.296304310359396,mobile,10,N,N
easy,video,18-25,1,3,25.814727825584377,desktop,10,N,N
medium,combined,26-35,14,6,32.7127150692243,mobile,8,N,Y
easy,coding,46-60,4,5,49.11274147223482,mobile,3,N,Y
medium,coding,36-45,1,2,27.93769441215603,desktop,5,Y,Y
easy,video,26-35,11,6,44.152053716630476,mobile,3,N,Y
easy,combined,18-25,20,0,36.712440807688296,desktop,3,Y,Y
medium,coding,18-25,15,4,12.393096078158798,mobile,5,N,Y
easy,video,18-25,15,7,16.77435564883771,desktop,8,Y,Y
easy,video,18-25,15,5,19.996849403161242,desktop,1,N,Y
easy,reading,18-25,16,7,19.7419809968066,desktop,30,Y,Y
medium,coding,26-35,10,0,28.91652304671823,desktop,3,N,Y
hard,video,26-35,2,4,37.37572857698187,mobile,8,N,Y
hard,reading,26-35,17,6,45.06190100045667,desktop,20,N,Y
medium,coding,36-45,9,5,33.698101064700985,mobile,3,N,N
hard,combined,18-25,10,7,24.65184532736148,desktop,10,N,Y
hard,reading,18-25,7,3,5.013105076441509,mobile,20,N,N
easy,combined,26-35,3,5,30.847074905008057,desktop,10,N,Y
easy,video,26-35,19,3,30.309242324339895,mobile,5,N,Y
easy,coding,26-35,16,6,32.195145042467495,mobile,15,N,Y
hard,video,36-45,13,0,55.27488357243999,desktop,15,N,Y
medium,video,26-35,8,2,44.88715855431687,desktop,8,N,Y
medium,combined,26-35,17,0,39.42073101899983,mobile,1,N,N
easy,reading,18-25,11,5,18.4550744391408,desktop,1,N,Y
easy,coding,26-35,9,1,23.84406300963908,mobile,20,Y,Y
easy,coding,26-35,9,2,28.861864716857973,desktop,8,N,Y
hard,video,26-35,4,6,20.695114511875758,mobile,3,N,Y
easy,video,18-25,1,2,36.00557429982142,desktop,10,Y,Y
easy,reading,18-25,11,1,34.282906190588456,desktop,30,N,N
easy,reading,36-45,18,0,16.94030648334369,mobile,1,N,Y
easy,video,46-60,1,1,44.3618005091535,mobile,3,Y,Y
medium,video,26-35,18,7,31.227724005706325,mobile,8,N,Y
easy,video,18-25,17,4,9.251146239092986,mobile,15,Y,Y
medium,video,26-35,5,7,29.383885699860368,mobile,10,N,N
hard,coding,18-25,13,1,33.374477471074854,mobile,20,Y,N
medium,reading,46-60,3,2,41.67350833722889,mobile,1,N,Y
easy,video,18-25,15,1,25.950283162480602,mobile,8,Y,Y
medium,video,18-25,14,3,39.935259209366485,mobile,8,Y,Y
easy,coding,46-60,7,4,32.24570384124259,desktop,8,N,Y
easy,reading,46-60,1,6,14.219344691549047,mobile,10,N,Y
hard,video,26-35,20,2,13.017998718209835,mobile,20,Y,N
medium,coding,18-25,9,6,43.47071844179219,mobile,8,N,Y
easy,video,18-25,18,5,44.35181014058123,mobile,15,Y,N
easy,reading,26-35,14,2,33.87491076485668,desktop,3,N,Y
easy,coding,18-25,16,7,47.94848065416034,mobile,10,N,Y
easy,video,26-35,15,3,42.67931818849928,desktop,8,Y,Y
easy,video,36-45,4,1,38.20354475375665,mobile,10,Y,Y
medium,video,26-35,7,7,19.06426213519594,mobile,3,N,Y
hard,combined,36-45,9,7,50.77714501238812,desktop,30,N,Y
medium,combined,18-25,10,0,36.43561718649927,mobile,30,Y,N
medium,reading,36-45,0,7,25.36993470466054,mobile,20,N,N
hard,video,26-35,11,7,21.980759936336426,desktop,20,N,N
easy,coding,26-35,3,6,33.08140537816628,desktop,3,N,Y
easy,video,26-35,15,2,9.947290981938544,desktop,10,N,Y
medium,coding,36-45,14,5,38.39607930423435,mobile,8,Y,Y
medium,video,26-35,19,4,18.557150223671677,mobile,20,Y,Y
easy,video,46-60,15,4,34.44729730589144,desktop,5,N,Y
easy,coding,26-35,7,4,23.740555951702085,mobile,5,N,Y
easy,video,18-25,20,5,26.826975447303557,desktop,15,N,Y
hard,video,26-35,8,4,20.917081526819224,mobile,3,Y,Y
medium,combined,26-35,6,5,28.065246825830382,mobile,15,Y,N
medium,reading,18-25,19,4,52.67255455220825,mobile,5,N,N
easy,video,26-35,7,0,46.62071552458369,desktop,15,N,Y
hard,video,26-35,1,0,34.25374745994548,mobile,20,N,N
medium,video,46-60,9,7,29.696468813220573,desktop,15,Y,Y
easy,combined,46-60,16,7,40.13041428831462,mobile,5,N,Y
easy,video,18-25,3,4,43.55964472929068,mobile,1,N,N
medium,video,46-60,9,1,20.04217941350965,desktop,1,N,Y
medium,coding,46-60,2,6,29.070733588413574,desktop,3,Y,Y
easy,video,18-25,14,1,8.136501245183037,mobile,10,Y,Y
hard,video,18-25,9,3,43.47722532313074,mobile,8,Y,Y
hard,combined,18-25,6,2,54.780291092410266,desktop,5,Y,N
easy,coding,18-25,4,0,30.960991495477025,desktop,5,N,Y
easy,video,18-25,11,6,4.499878501163803,mobile,30,N,Y
hard,coding,46-60,14,4,37.306686198924375,mobile,3,N,Y
medium,video,18-25,19,2,19.150930006211034,desktop,8,Y,Y
medium,coding,26-35,9,4,22.03980670002648,mobile,10,N,Y
medium,video,26-35,3,0,37.518916677492044,desktop,1,N,N
medium,reading,26-35,17,3,33.05464950615269,desktop,30,N,Y
easy,coding,18-25,13,4,24.14269469593678,mobile,3,N,N
easy,video,26-35,14,2,22.20473240878003,desktop,15,Y,Y
easy,video,26-35,2,6,31.510032662649994,mobile,15,N,Y
medium,video,36-45,6,1,25.08641336985159,mobile,20,N,Y
easy,reading,26-35,16,1,16.68915439676391,mobile,15,N,Y
hard,video,36-45,17,4,26.00924182225968,mobile,20,N,Y
medium,video,18-25,9,7,34.07511147906221,desktop,8,Y,N
easy,video,26-35,16,3,27.8627583981644,mobile,10,Y,Y
hard,reading,26-35,17,0,13.037896821021778,mobile,15,N,Y
easy,combined,18-25,8,7,41.86877545650647,desktop,10,Y,Y
easy,reading,18-25,18,3,2.0,mobile,10,N,Y
easy,reading,26-35,6,1,24.643618139658777,desktop,5,Y,Y
easy,video,36-45,5,4,22.55761854535301,desktop,5,N,Y
easy,video,26-35,14,2,31.77814653445698,mobile,8,N,N
medium,video,18-25,13,7,36.73994169363283,desktop,1,N,Y
medium,combined,18-25,2,2,43.52117769913242,mobile,8,Y,Y
easy,combined,36-45,17,4,21.451141519774076,desktop,1,N,Y
medium,video,18-25,4,4,37.038988048001784,mobile,10,N,Y
easy,video,26-35,16,1,32.349820654577535,mobile,15,N,Y
easy,combined,18-25,0,3,9.46152749780132,mobile,10,N,Y
easy,combined,46-60,16,0,52.80648306520932,desktop,15,N,Y
hard,video,26-35,16,5,12.734698473117607,desktop,1,Y,Y
